CORINE_Code18_LandCoverClass,Description
231,Pastures
112,Discontinuous urban fabric
142,Sport and leisure facilities
311,Broad-leaved forest
121,Industrial or commercial units
312,Coniferous forest
211,Non-irrigated arable land
512,Water bodies
313,Mixed forest
141,Green urban areas
243,Land principally occupied by agriculture with significant areas of natural vegetation
131,Mineral extraction sites
133,Construction sites
122,Road and rail networks and associated land
111,Continuous urban fabric
321,Natural grassland
124,Airports
132,Dump sites
322,Moors and heathland
324,Transitional woodland/shrub
333,Sparsely vegetated areas